Line,Code,Execution Count
1,/* global _ */,10
2,(function () {,15
3,'use strict';,16
4,,16
5,/* jshint ignore:start */,16
6,// Underscore's Template Module,32
7,// Courtesy of underscorejs.org,46
8,var _ = (function (_) {,33
9,_.defaults = function (object) {,23
10,if (!object) {,25
11,return object;,26
12,},20
13,"for (var argsIndex = 1, argsLength = arguments.length; argsIndex < argsLength; argsIndex++) {",19
14,var iterable = arguments[argsIndex];,30
15,if (iterable) {,31
16,for (var key in iterable) {,34
17,if (object[key] == null) {,23
18,object[key] = iterable[key];,22
19,},20
20,},30
21,},41
22,},41
23,return object;,39
24,};,34
25,,34
26,"// By default, Underscore uses ERB-style template delimiters, change the",32
27,// following template settings to use alternative delimiters.,34
28,_.templateSettings = {,32
29,"evaluate    : /<%([\s\S]+?)%>/g,",26
30,"interpolate : /<%=([\s\S]+?)%>/g,",26
31,escape      : /<%-([\s\S]+?)%>/g,28
32,};,23
33,,23
34,"// When customizing `templateSettings`, if you don't want to define an",23
35,"// interpolation, evaluation or escaping regex, we need one that is",17
36,// guaranteed not to match.,19
37,var noMatch = /(.)^/;,19
38,,29
39,// Certain characters need to be escaped so that they can be put into a,27
40,// string literal.,32
41,var escapes = {,26
42,"""'"":      ""'"",",20
43,"'\\':     '\\',",24
44,"'\r':     'r',",24
45,"'\n':     'n',",25
46,"'\t':     't',",25
47,"'\u2028': 'u2028',",21
48,'\u2029': 'u2029',22
49,};,25
50,,22
51,var escaper = /\\|'|\r|\n|\t|\u2028|\u2029/g;,25
52,,24
53,"// JavaScript micro-templating, similar to John Resig's implementation.",25
54,"// Underscore templating handles arbitrary delimiters, preserves whitespace,",28
55,// and correctly escapes quotes within interpolated code.,25
56,"_.template = function(text, data, settings) {",26
57,var render;,25
58,"settings = _.defaults({}, settings, _.templateSettings);",29
59,,25
60,// Combine delimiters into one regular expression via alternation.,24
61,var matcher = new RegExp([,18
62,"(settings.escape || noMatch).source,",23
63,"(settings.interpolate || noMatch).source,",22
64,(settings.evaluate || noMatch).source,25
65,"].join('|') + '|$', 'g');",25
66,,28
67,"// Compile the template source, escaping string literals appropriately.",30
68,var index = 0;,30
69,"var source = ""__p+='"";",36
70,"text.replace(matcher, function(match, escape, interpolate, evaluate, offset) {",35
71,"source += text.slice(index, offset)",33
72,".replace(escaper, function(match) { return '\\' + escapes[match]; });",33
73,,22
74,if (escape) {,22
75,"source += ""'+\n((__t=("" + escape + ""))==null?'':_.escape(__t))+\n'"";",22
76,},22
77,if (interpolate) {,22
78,"source += ""'+\n((__t=("" + interpolate + ""))==null?'':__t)+\n'"";",22
79,},17
80,if (evaluate) {,17
81,"source += ""';\n"" + evaluate + ""\n__p+='"";",17
82,},17
83,index = offset + match.length;,17
84,return match;,18
85,});,18
86,"source += ""';\n"";",19
87,,19
88,"// If a variable is not specified, place data values in local scope.",19
89,if (!settings.variable) source = 'with(obj||{}){\n' + source + '}\n';,26
90,,34
91,"source = ""var __t,__p='',__j=Array.prototype.join,"" +",30
92,"""print=function(){__p+=__j.call(arguments,'');};\n"" +",40
93,"source + ""return __p;\n"";",40
94,,34
95,try {,36
96,"render = new Function(settings.variable || 'obj', '_', source);",32
97,} catch (e) {,64
98,e.source = source;,61
99,throw e;,61
100,},65
101,,75
102,"if (data) return render(data, _);",73
103,var template = function(data) {,78
104,"return render.call(this, data, _);",87
105,};,85
106,,95
107,// Provide the compiled function source as a convenience for precompilation.,84
108,template.source = 'function(' + (settings.variable || 'obj') + '){\n' + source + '}';,84
109,,78
110,return template;,74
111,};,74
112,,64
113,return _;,69
114,})({});,57
115,,50
116,if (location.hostname === 'todomvc.com') {,50
117,"(function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){",50
118,"(i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o),",46
119,"m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m)",46
120,"})(window,document,'script','https://www.google-analytics.com/analytics.js','ga');",45
121,"ga('create', 'UA-31081062-1', 'auto');",44
122,"ga('send', 'pageview');",44
123,},44
124,/* jshint ignore:end */,44
125,,44
126,function redirect() {,45
127,if (location.hostname === 'tastejs.github.io') {,43
128,"location.href = location.href.replace('tastejs.github.io/todomvc', 'todomvc.com');",43
129,},43
130,},43
131,,42
132,function findRoot() {,43
133,var base = location.href.indexOf('examples/');,43
134,"return location.href.substr(0, base);",43
135,},43
136,,42
137,"function getFile(file, callback) {",9
138,if (!location.host) {,11
139,return console.info('Miss the info bar? Run TodoMVC from a server to avoid a cross-origin error.');,11
140,},11
141,,11
142,var xhr = new XMLHttpRequest();,9
143,,10
144,"xhr.open('GET', findRoot() + file, true);",10
145,xhr.send();,10
146,,10
147,xhr.onload = function () {,10
148,if (xhr.status === 200 && callback) {,9
149,callback(xhr.responseText);,9
150,},9
151,};,9
152,},8
153,,7
154,"function Learn(learnJSON, config) {",7
155,if (!(this instanceof Learn)) {,7
156,"return new Learn(learnJSON, config);",7
157,},7
158,,7
159,"var template, framework;",7
160,,7
161,if (typeof learnJSON !== 'object') {,7
162,try {,6
163,learnJSON = JSON.parse(learnJSON);,7
164,} catch (e) {,7
165,return;,7
166,},7
167,},7
168,,7
169,if (config) {,7
170,template = config.template;,7
171,framework = config.framework;,7
172,},7
173,,7
174,if (!template && learnJSON.templates) {,6
175,template = learnJSON.templates.todomvc;,14
176,},14
177,,15
178,if (!framework && document.querySelector('[data-framework]')) {,17
179,framework = document.querySelector('[data-framework]').dataset.framework;,17
180,},17
181,,23
182,this.template = template;,24
183,,24
184,if (learnJSON.backend) {,26
185,this.frameworkJSON = learnJSON.backend;,33
186,this.frameworkJSON.issueLabel = framework;,32
187,this.append({,32
188,backend: true,32
189,});,32
190,} else if (learnJSON[framework]) {,36
191,this.frameworkJSON = learnJSON[framework];,35
192,this.frameworkJSON.issueLabel = framework;,35
193,this.append();,35
194,},38
195,,37
196,this.fetchIssueCount();,37
197,},37
198,,41
199,Learn.prototype.append = function (opts) {,42
200,var aside = document.createElement('aside');,42
201,"aside.innerHTML = _.template(this.template, this.frameworkJSON);",42
202,aside.className = 'learn';,42
203,,42
204,if (opts && opts.backend) {,42
205,// Remove demo link,43
206,var sourceLinks = aside.querySelector('.source-links');,42
207,var heading = sourceLinks.firstElementChild;,42
208,var sourceLink = sourceLinks.lastElementChild;,42
209,// Correct link path,42
210,var href = sourceLink.getAttribute('href');,14
211,"sourceLink.setAttribute('href', href.substr(href.lastIndexOf('http')));",6
212,sourceLinks.innerHTML = heading.outerHTML + sourceLink.outerHTML;,6
213,} else {,6
214,// Localize demo links,12
215,var demoLinks = aside.querySelectorAll('.demo-link');,12
216,"Array.prototype.forEach.call(demoLinks, function (demoLink) {",17
217,"if (demoLink.getAttribute('href').substr(0, 4) !== 'http') {",16
218,"demoLink.setAttribute('href', findRoot() + demoLink.getAttribute('href'));",16
219,},16
220,});,16
221,},16
222,,16
223,document.body.className = (document.body.className + ' learn-bar').trim();,16
224,"document.body.insertAdjacentHTML('afterBegin', aside.outerHTML);",16
225,};,16
226,,10
227,Learn.prototype.fetchIssueCount = function () {,4
228,var issueLink = document.getElementById('issue-count-link');,4
229,if (issueLink) {,4
230,"var url = issueLink.href.replace('https://github.com', 'https://api.github.com/repos');",4
231,var xhr = new XMLHttpRequest();,4
232,"xhr.open('GET', url, true);",10
233,xhr.onload = function (e) {,10
234,var parsedResponse = JSON.parse(e.target.responseText);,10
235,if (parsedResponse instanceof Array) {,10
236,var count = parsedResponse.length;,10
237,if (count !== 0) {,10
238,issueLink.innerHTML = 'This app has ' + count + ' open issues';,10
239,document.getElementById('issue-count').style.display = 'inline';,10
240,},10
241,},17
242,};,14
243,xhr.send();,10
244,},10
245,};,10
246,,4
247,redirect();,4
248,"getFile('learn.json', Learn);",4
249,})();,4
250,,5
251,"// Store a reference to the active route, allowing us to re-filter todo",4
252,// items as they are marked complete or incomplete.,4
253,this._activeRoute = currentPage;,4
254,,4
255,"if (currentPage === """")",4
256,"this._activeRoute = ""All"";",5
257,,4
258,this._filter();,4
259,,4
260,"this.view.render(""setFilter"", currentPage);",4
261,};,4
262,,2
263,// Export to window,2
264,window.app = window.app || {};,2
265,window.app.Controller = Controller;,2
266,})(window);,2
267,,1
